datetime,power,total_particles,length_per_rank,num_procs,box_length,RAM_GB,gen_time,splitters_time,dist_time,total_time,device,seed
2025-09-23 10:09:06,8,100000000,12500000,8,100000000.0,0.11,88.892051,1.879018,2.044557,92.815626,cpu,69,strong
2025-09-23 10:09:21,8,100000000,100000000,1,100000000.0,4.00,372.593615,10.193924,4.090959,386.878498,cpu,69,strong
2025-09-23 10:10:49,8,100000000,12500000,8,100000000.0,0.11,88.511645,1.877111,2.031140,92.419896,cpu,69,strong
2025-09-23 10:10:57,8,100000000,16666667,6,100000000.0,0.19,112.707499,2.436010,2.400182,117.543690,cpu,69,strong
2025-09-23 10:11:13,8,100000000,25000000,4,100000000.0,0.40,154.595846,3.644979,3.476522,161.717347,cpu,69,strong
2025-09-23 10:11:52,8,100000000,50000000,2,100000000.0,1.33,251.288710,6.340391,4.320806,261.949907,cpu,69,strong
2025-09-23 10:13:07,8,100000000,16666667,6,100000000.0,0.19,112.900882,2.455016,2.329849,117.685746,cpu,69,strong
2025-09-23 10:14:11,8,100000000,25000000,4,100000000.0,0.40,154.594162,3.589593,3.478372,161.662128,cpu,69,strong
2025-09-23 10:16:26,8,100000000,100000000,1,100000000.0,4.00,371.787798,10.144546,4.096021,386.028365,cpu,69,strong
2025-09-23 10:16:39,8,100000000,50000000,2,100000000.0,1.33,250.228424,6.317870,4.306161,260.852455,cpu,69,strong
2025-09-23 10:17:10,8,100000000,25000000,4,100000000.0,0.40,154.822816,3.636005,3.915177,162.373998,cpu,69,strong
2025-09-23 10:21:27,8,100000000,50000000,2,100000000.0,1.33,251.404757,6.460005,4.296867,262.161628,cpu,69,strong
2025-09-23 10:23:33,8,100000000,100000000,1,100000000.0,4.00,374.125446,10.199727,4.098205,388.423378,cpu,69,strong
2025-09-23 10:26:15,8,100000000,50000000,2,100000000.0,1.33,250.743625,6.468707,4.311331,261.523663,cpu,69,strong
